Temperature,Magnetization,Energy
0.01,0.11,0.05
0.522564,0.11625,0.1375
1.03513,0.089375,0.0075
1.54769,0.105,-0.0875
2.06026,0.105,0.0775
2.57282,0.08125,0.075
3.08538,0.1125,0.03
3.59795,0.10625,0.01
4.11051,0.0975,0.0075
4.62308,0.09375,0.0625
5.13564,0.1075,0.0175
5.64821,0.09,-0.035
6.16077,0.125,0.045
6.67333,0.089375,-0.03
7.1859,0.10375,0.005
7.69846,0.11375,-0.0575
8.21103,0.09625,-0.0425
8.72359,0.100625,-0.02
9.23615,0.10125,0
9.74872,0.085625,0.1025
10.2613,0.115,-0.0125
10.7738,0.109375,0.125
11.2864,0.105625,0.015
11.799,0.091875,0.0775
12.3115,0.1075,0.0275
12.8241,0.099375,0.0525
13.3367,0.098125,0
13.8492,0.095,-0.02
14.3618,0.09,-0.035
14.8744,0.1025,-0.0475
15.3869,0.089375,0.0275
15.8995,0.096875,0.0275
16.4121,0.115,0.0075
16.9246,0.0975,-0.015
17.4372,0.086875,0.02
17.9497,0.105,0.01
18.4623,0.11375,-0.02
18.9749,0.0975,0
19.4874,0.100625,0.0025
20,0.100625,0.0525
