Temperature,Magnetization,Energy
0.01,0.074375,-0.01625
0.522564,0.0709375,0.0075
1.03513,0.0646875,-0.03125
1.54769,0.07625,0
2.06026,0.0690625,0.02625
2.57282,0.0628125,0.01125
3.08538,0.0721875,0.05125
3.59795,0.0653125,-0.00875
4.11051,0.065,-0.0025
4.62308,0.061875,-0.0525
5.13564,0.0753125,-0.0025
5.64821,0.0771875,-0.01875
6.16077,0.0625,0.0425
6.67333,0.0684375,0.03125
7.1859,0.0646875,0.00125
7.69846,0.071875,-0.0125
8.21103,0.06125,-0.005
8.72359,0.07125,0.01125
9.23615,0.0690625,-0.00125
9.74872,0.07125,0.02625
10.2613,0.0721875,0.0175
10.7738,0.0721875,-0.0125
11.2864,0.0678125,0.01375
11.799,0.0746875,-0.00375
12.3115,0.0903125,-0.01125
12.8241,0.06375,0.04
13.3367,0.0659375,0.01125
13.8492,0.0715625,0.0175
14.3618,0.056875,-0.00625
14.8744,0.0825,-0.00625
15.3869,0.071875,0.005
15.8995,0.06,-0.0075
16.4121,0.0859375,0.02375
16.9246,0.0728125,0.00875
17.4372,0.070625,-0.00875
17.9497,0.0684375,-0.02375
18.4623,0.06875,0.025
18.9749,0.0709375,0.0325
19.4874,0.0634375,0.00375
20,0.07375,-0.01875
